Mach number,Drag coefficient
0.006,0.206
0.005,0.206
0.005,0.206
0.005,0.207
0.005,0.207
0.005,0.206
0.006,0.206
0.006,0.204
0.007,0.201
0.009,0.198
0.011,0.195
0.013,0.192
0.015,0.19
0.017,0.188
0.019,0.186
0.022,0.185
0.024,0.184
0.026,0.183
0.028,0.182
0.03,0.181
0.032,0.181
0.034,0.18
0.036,0.179
0.037,0.179
0.04,0.178
0.044,0.177
0.05,0.176
0.059,0.175
0.069,0.173
0.08,0.172
0.092,0.171
0.103,0.171
0.115,0.17
0.127,0.17
0.139,0.169
0.151,0.169
0.164,0.169
0.177,0.169
0.189,0.169
0.202,0.169
0.215,0.17
0.227,0.17
0.24,0.17
0.252,0.171
0.265,0.171
0.277,0.172
0.29,0.172
0.303,0.173
0.315,0.174
0.328,0.175
0.34,0.176
0.353,0.176
0.365,0.177
0.377,0.178
0.39,0.179
0.402,0.181
0.414,0.182
0.426,0.183
0.438,0.184
0.45,0.185
0.462,0.186
0.474,0.188
0.485,0.189
0.497,0.19
0.508,0.192
0.519,0.193
0.53,0.195
0.541,0.196
0.552,0.198
0.563,0.199
0.574,0.2
0.584,0.202
0.595,0.203
0.605,0.205
0.615,0.207
0.624,0.208
0.634,0.21
0.644,0.211
0.653,0.213
0.662,0.214
0.671,0.216
0.68,0.217
0.688,0.219
0.697,0.22
0.705,0.222
0.713,0.223
0.721,0.225
0.728,0.226
0.736,0.227
0.743,0.229
0.75,0.23
0.757,0.232
0.763,0.233
0.77,0.234
0.776,0.236
0.782,0.237
0.788,0.238
0.794,0.239
0.799,0.24
0.805,0.242
0.81,0.243
0.815,0.244
0.82,0.245
0.824,0.246
0.829,0.247
0.833,0.248
0.838,0.249
0.842,0.25
0.846,0.251
0.849,0.252
0.853,0.253
0.856,0.254
0.86,0.254
0.863,0.255
0.866,0.256
0.869,0.257
0.872,0.257
0.874,0.258
0.877,0.259
0.879,0.259
0.882,0.26
0.884,0.261
0.886,0.261
0.888,0.262
0.89,0.262
0.892,0.263
0.893,0.263
0.895,0.264
0.896,0.264
0.898,0.264
0.899,0.265
0.901,0.265
0.902,0.265
0.903,0.266
0.904,0.266
0.905,0.266
0.907,0.266
0.908,0.267
0.909,0.267
0.91,0.267
0.911,0.267
0.912,0.268
0.913,0.268
0.913,0.268
0.914,0.268
0.915,0.268
0.915,0.268
0.916,0.269
0.916,0.269
0.917,0.269
0.917,0.269
0.918,0.269
0.918,0.269
0.918,0.269
0.918,0.269
0.919,0.269
0.919,0.269
0.919,0.269
0.919,0.269
0.919,0.269
0.919,0.269
0.919,0.269
0.919,0.269
0.919,0.269
0.919,0.269
0.918,0.269
0.918,0.269
0.918,0.269
0.918,0.269
0.917,0.269
0.917,0.269
0.917,0.269
0.916,0.269
0.915,0.269
0.915,0.268
0.913,0.268
0.912,0.268
0.91,0.267
0.908,0.267
0.904,0.266
0.898,0.265
0.888,0.262
0.875,0.259
0.861,0.255
0.846,0.252
0.831,0.248
0.817,0.245
0.803,0.242
0.789,0.239
0.776,0.236
0.763,0.234
0.751,0.231
0.739,0.229
0.728,0.227
0.717,0.225
0.707,0.223
0.697,0.221
0.687,0.219
0.677,0.218
0.668,0.216
0.659,0.215
0.65,0.213
0.642,0.212
0.634,0.21
0.626,0.209
0.618,0.208
0.61,0.207
0.603,0.206
0.595,0.205
0.588,0.204
0.581,0.203
0.575,0.202
0.568,0.201
0.562,0.2
0.555,0.199
0.549,0.198
0.543,0.197
0.537,0.197
0.531,0.196
0.526,0.195
0.52,0.194
0.515,0.194
0.509,0.193
0.504,0.192
0.499,0.192
0.494,0.191
0.489,0.191
0.484,0.19
0.479,0.19
0.474,0.189
0.469,0.188
0.465,0.188
0.46,0.187
0.456,0.187
0.451,0.187
0.447,0.186
0.443,0.186
0.438,0.185
0.434,0.185
0.43,0.184
0.426,0.184
0.422,0.184
0.418,0.183
0.414,0.183
0.41,0.183
0.407,0.182
0.403,0.182
0.399,0.182
0.396,0.181
0.392,0.181
0.389,0.181
0.385,0.18
0.382,0.18
0.378,0.18
0.375,0.18
0.371,0.179
0.368,0.179
0.365,0.179
0.362,0.179
0.358,0.178
0.355,0.178
0.352,0.178
0.349,0.178
0.346,0.177
0.343,0.177
0.34,0.177
0.337,0.177
0.334,0.177
0.331,0.176
0.328,0.176
0.325,0.176
0.322,0.176
0.319,0.176
0.317,0.176
0.314,0.175
0.311,0.175
0.308,0.175
0.306,0.175
0.303,0.175
0.3,0.175
0.298,0.174
0.295,0.174
0.292,0.174
0.29,0.174
0.287,0.174
0.285,0.174
0.282,0.174
0.28,0.174
0.277,0.173
0.275,0.173
0.272,0.173
0.27,0.173
0.268,0.173
0.265,0.173
0.263,0.173
0.261,0.173
0.258,0.173
0.256,0.173
0.254,0.172
0.251,0.172
0.249,0.172
0.247,0.172
0.245,0.172
0.242,0.172
0.24,0.172
0.238,0.172
0.236,0.172
0.234,0.172
0.232,0.172
0.229,0.172
0.227,0.172
0.225,0.172
0.223,0.172
0.221,0.171
0.219,0.171
0.217,0.171
0.215,0.171
0.213,0.171
0.211,0.171
0.209,0.171
0.207,0.171
0.205,0.171
0.203,0.171
0.201,0.171
0.199,0.171
0.197,0.171
0.195,0.171
0.193,0.171
0.191,0.171
0.189,0.171
0.187,0.171
0.185,0.171
0.183,0.171
0.181,0.171
0.179,0.171
0.178,0.171
0.176,0.171
0.174,0.171
0.172,0.171
0.17,0.171
0.168,0.171
0.166,0.171
0.165,0.171
0.163,0.171
0.161,0.171
0.159,0.171
0.157,0.171
0.156,0.171
0.154,0.171
0.152,0.171
0.15,0.171
0.149,0.171
0.147,0.171
0.145,0.171
0.143,0.171
0.142,0.171
0.14,0.171
0.138,0.171
0.137,0.171
0.135,0.171
0.133,0.172
0.131,0.172
0.13,0.172
0.128,0.172
0.126,0.172
0.125,0.172
0.123,0.172
0.121,0.172
0.12,0.172
0.118,0.172
0.116,0.172
0.115,0.172
0.113,0.172
0.112,0.172
0.11,0.172
0.108,0.173
0.107,0.173
0.105,0.173
0.104,0.173
0.102,0.173
0.101,0.173
0.099,0.173
0.097,0.173
0.096,0.173
0.094,0.173
0.092,0.174
0.091,0.174
0.089,0.174
0.088,0.174
0.086,0.174
0.085,0.174
0.083,0.174
0.082,0.174
0.08,0.175
0.079,0.175
0.077,0.175
0.075,0.175
0.074,0.175
0.072,0.175
0.071,0.176
0.069,0.176
0.068,0.176
0.066,0.176
0.065,0.176
0.063,0.177
0.062,0.177
0.06,0.177
0.059,0.177
0.057,0.178
0.056,0.178
0.054,0.178
0.053,0.178
0.051,0.179
0.05,0.179
0.048,0.179
0.047,0.179
0.046,0.18
0.044,0.18
0.043,0.18
0.042,0.181
0.04,0.181
0.039,0.182
0.037,0.182
0.036,0.182
0.035,0.183
0.033,0.183
0.032,0.184
0.03,0.184
0.029,0.185
0.028,0.185
0.027,0.186
0.025,0.187
0.024,0.187
0.023,0.188
0.022,0.188
0.021,0.189
