# Simulation 2 (Up to date),,,,
# 4836 data points written for 5 variables.,,,,
# Simulation warnings:,,,,
#   No recovery device defined in the simulation.,,,,
#   Body calculations may not be entirely accurate at supersonic speeds.,,,,
#,,,,
# Time (s),Altitude (m),Vertical velocity (m/s),Mach number (​),Drag coefficient (​)
# Event IGNITION occurred at t=0 seconds,,,,
# Event LAUNCH occurred at t=0 seconds,,,,
0.01,8.37E-04,0.167,0.006,0.206
0.02,0.006,0.842,0.006,0.204
0.03,0.018,1.646,0.008,0.201
# Event LIFTOFF occurred at t=0.04 seconds,,,,
0.04,0.039,2.451,0.009,0.198
0.05,0.067,3.255,0.011,0.195
0.06,0.104,4.059,0.013,0.193
0.07,0.149,4.864,0.015,0.191
0.08,0.201,5.668,0.018,0.189
0.09,0.262,6.473,0.02,0.187
0.1,0.331,7.277,0.022,0.186
0.11,0.407,8.081,0.024,0.185
0.12,0.492,8.885,0.027,0.184
0.13,0.585,9.69,0.029,0.183
0.14,0.686,10.494,0.031,0.182
0.15,0.79,11.26,0.034,0.181
0.158,0.893,11.974,0.036,0.18
0.167,0.996,12.646,0.038,0.18
# Event LAUNCHROD occurred at t=0.175 seconds,,,,
0.175,1.098,13.282,0.039,0.179
0.187,1.261,14.236,0.042,0.179
0.204,1.527,15.666,0.046,0.178
0.231,1.974,17.812,0.053,0.176
0.271,2.752,21.03,0.062,0.175
0.321,3.904,25.048,0.074,0.174
0.371,5.256,29.064,0.086,0.172
0.421,6.81,33.079,0.097,0.172
0.471,8.564,37.093,0.109,0.171
0.521,10.519,41.103,0.121,0.171
0.571,12.675,45.112,0.133,0.17
0.621,15.03,49.118,0.144,0.17
0.671,17.586,53.121,0.156,0.17
0.721,20.342,57.122,0.168,0.17
0.771,23.298,61.118,0.18,0.17
0.821,26.454,65.112,0.191,0.17
0.871,29.81,69.102,0.203,0.17
0.921,33.364,73.087,0.215,0.17
0.971,37.118,77.068,0.227,0.171
1.021,41.071,81.045,0.238,0.171
1.071,45.223,85.017,0.25,0.171
1.121,49.573,88.983,0.262,0.172
1.171,54.121,92.944,0.273,0.172
1.221,58.867,96.899,0.285,0.173
1.271,63.811,100.848,0.297,0.174
1.321,68.952,104.79,0.308,0.174
1.371,74.29,108.726,0.32,0.175
1.421,79.824,112.654,0.331,0.176
1.471,85.555,116.574,0.343,0.176
1.521,91.481,120.487,0.354,0.177
1.571,97.603,124.392,0.366,0.178
1.621,103.92,128.288,0.378,0.179
1.671,110.432,132.175,0.389,0.18
1.721,117.138,136.053,0.4,0.181
1.771,124.037,139.922,0.412,0.182
1.821,131.13,143.783,0.423,0.183
1.871,138.415,147.633,0.435,0.184
1.921,145.893,151.475,0.446,0.185
1.971,153.563,155.307,0.457,0.187
2.021,161.424,159.129,0.469,0.188
2.071,169.475,162.941,0.48,0.189
2.121,177.717,166.742,0.491,0.19
2.171,186.149,170.533,0.502,0.192
2.221,194.771,174.312,0.514,0.193
2.271,203.58,178.08,0.525,0.195
2.321,212.578,181.835,0.536,0.196
2.371,221.764,185.578,0.547,0.197
2.421,231.136,189.307,0.558,0.199
2.471,240.694,193.023,0.569,0.2
2.521,250.438,196.724,0.58,0.202
2.571,260.366,200.41,0.591,0.204
2.621,270.479,204.081,0.602,0.205
2.671,280.774,207.736,0.613,0.207
2.721,291.252,211.375,0.623,0.209
2.771,301.911,214.996,0.634,0.21
2.821,312.751,218.6,0.645,0.212
2.871,323.771,222.186,0.656,0.214
2.921,334.97,225.754,0.666,0.215
2.971,346.346,229.305,0.677,0.217
3.021,357.9,232.837,0.687,0.219
3.071,369.63,236.352,0.698,0.221
3.121,381.535,239.848,0.708,0.223
3.171,393.614,243.326,0.719,0.225
3.221,405.867,246.784,0.729,0.227
3.271,418.292,250.223,0.739,0.229
3.321,430.889,253.642,0.749,0.231
3.371,443.656,257.04,0.76,0.233
3.421,456.592,260.415,0.77,0.235
3.471,469.697,263.769,0.78,0.237
3.521,482.969,267.099,0.79,0.239
3.571,496.407,270.406,0.799,0.241
