Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Gravitational acceleration (m/s²),Mach number (​),Reynolds number (​),Thrust (N),Drag coefficient (​),Air pressure (mbar),Speed of sound (m/s)
0.01,-3.62E-04,-0.072,-7.247,9.792,0.006,3.46E+05,194.042,0.206,1013.25,340.389
0.02,-1.08E-04,-0.022,-2.157,9.792,0.005,3.44E+05,582.127,0.206,1013.25,340.389
0.03,1.47E-04,0.029,2.934,9.792,0.005,3.42E+05,970.212,0.206,1013.25,340.389
0.04,8.41E-04,0.11,8.025,9.792,0.005,3.40E+05,1358.296,0.207,1013.25,340.389
0.05,0.003,0.241,13.117,9.792,0.005,3.40E+05,1746.381,0.207,1013.25,340.389
0.06,0.006,0.435,19.401,9.792,0.005,3.43E+05,2225.147,0.206,1013.249,340.389
0.07,0.012,0.716,28.141,9.792,0.006,3.56E+05,2890.942,0.206,1013.249,340.389
0.08,0.021,1.12,40.409,9.792,0.006,3.87E+05,3825.218,0.204,1013.248,340.389
0.09,0.035,1.719,59.936,9.792,0.007,4.53E+05,5311.771,0.201,1013.246,340.389
0.1,0.056,2.469,74.96,9.792,0.009,5.57E+05,6454.245,0.198,1013.243,340.389
0.11,0.085,3.241,77.27,9.792,0.011,6.80E+05,6628.214,0.195,1013.24,340.389
0.12,0.121,4.034,79.31,9.792,0.013,8.13E+05,6781.601,0.192,1013.236,340.388
0.13,0.165,4.823,78.847,9.792,0.015,9.49E+05,6744.604,0.19,1013.231,340.388
0.14,0.217,5.6,77.774,9.792,0.017,1.09E+06,6661.297,0.188,1013.225,340.388
0.15,0.277,6.367,76.7,9.792,0.019,1.22E+06,6577.99,0.186,1013.217,340.388
0.16,0.345,7.123,75.625,9.792,0.022,1.36E+06,6494.683,0.185,1013.21,340.388
0.17,0.42,7.869,74.55,9.792,0.024,1.49E+06,6411.375,0.184,1013.201,340.387
0.18,0.502,8.603,73.473,9.792,0.026,1.62E+06,6328.068,0.183,1013.191,340.387
0.19,0.592,9.328,72.431,9.792,0.028,1.75E+06,6247.52,0.182,1013.181,340.387
0.2,0.689,10.047,71.96,9.792,0.03,1.88E+06,6210.503,0.181,1013.169,340.386
0.21,0.792,10.761,71.686,9.792,0.032,2.01E+06,6188.558,0.181,1013.157,340.386
0.219,0.895,11.424,71.421,9.792,0.034,2.13E+06,6167.39,0.18,1013.145,340.385
0.228,0.998,12.047,71.172,9.792,0.036,2.25E+06,6147.542,0.179,1013.133,340.385
0.236,1.1,12.636,70.936,9.792,0.037,2.36E+06,6128.786,0.179,1013.121,340.385
0.249,1.263,13.516,70.679,9.792,0.04,2.52E+06,6108.129,0.178,1013.102,340.384
0.267,1.528,14.839,70.884,9.792,0.044,2.76E+06,6121.902,0.177,1013.071,340.383
0.295,1.972,16.839,71.417,9.792,0.05,3.13E+06,6160.038,0.176,1013.019,340.381
0.337,2.743,19.873,72.243,9.792,0.059,3.69E+06,6219.622,0.175,1012.928,340.378
0.387,3.828,23.547,73.508,9.792,0.069,4.36E+06,6312.578,0.173,1012.801,340.374
0.437,5.099,27.291,74.895,9.792,0.08,5.05E+06,6415.965,0.172,1012.652,340.369
0.487,6.56,31.115,76.487,9.792,0.092,5.75E+06,6535.406,0.171,1012.481,340.363
0.537,8.213,35.038,78.432,9.792,0.103,6.48E+06,6682.8,0.171,1012.287,340.357
0.587,10.066,39.057,80.365,9.792,0.115,7.22E+06,6830.699,0.17,1012.069,340.349
0.637,12.121,43.157,81.972,9.792,0.127,7.97E+06,6954.851,0.17,1011.828,340.341
0.687,14.383,47.311,83.04,9.792,0.139,8.74E+06,7040.437,0.169,1011.563,340.332
0.737,16.854,51.517,84.077,9.792,0.151,9.51E+06,7125.486,0.169,1011.273,340.323
0.787,19.536,55.775,85.087,9.792,0.164,1.03E+07,7210.535,0.169,1010.959,340.312
0.837,22.432,60.079,85.997,9.792,0.177,1.11E+07,7290.255,0.169,1010.619,340.301
0.887,25.544,64.39,86.109,9.792,0.189,1.19E+07,7312.702,0.169,1010.254,340.288
0.937,28.871,68.694,85.979,9.792,0.202,1.27E+07,7319.607,0.169,1009.864,340.275
0.987,32.413,72.992,85.815,9.792,0.215,1.35E+07,7326.512,0.17,1009.448,340.261
1.037,36.17,77.28,85.616,9.792,0.227,1.42E+07,7333.417,0.17,1009.008,340.246
1.087,40.141,81.557,85.386,9.792,0.24,1.50E+07,7340.321,0.17,1008.542,340.231
1.137,44.326,85.823,85.121,9.792,0.252,1.58E+07,7347.226,0.171,1008.051,340.214
1.187,48.723,90.077,84.889,9.792,0.265,1.66E+07,7358.647,0.171,1007.536,340.197
1.237,53.334,94.33,84.861,9.792,0.277,1.74E+07,7385.657,0.172,1006.995,340.179
1.287,58.156,98.582,84.83,9.792,0.29,1.81E+07,7413.984,0.172,1006.429,340.16
1.337,63.192,102.832,84.784,9.792,0.303,1.89E+07,7442.312,0.173,1005.839,340.14
1.387,68.44,107.079,84.724,9.792,0.315,1.97E+07,7470.64,0.174,1005.223,340.119
1.437,73.9,111.323,84.619,9.792,0.328,2.05E+07,7498.967,0.175,1004.583,340.098
1.487,79.572,115.56,84.477,9.792,0.34,2.12E+07,7527.295,0.176,1003.918,340.075
