Time,Altitude,VerticalVelocity
0.01,8.37E-04,0.167
0.02,0.006,0.842
0.03,0.018,1.646
0.04,0.039,2.451
0.05,0.067,3.255
0.06,0.104,4.059
0.07,0.149,4.864
0.08,0.201,5.668
0.09,0.262,6.473
0.1,0.331,7.277
0.11,0.407,8.081
0.12,0.492,8.885
0.13,0.585,9.69
0.14,0.686,10.494
0.15,0.79,11.26
0.158,0.893,11.974
0.167,0.996,12.646
0.175,1.098,13.282
0.187,1.261,14.236
0.204,1.527,15.666
0.231,1.974,17.812
0.271,2.752,21.03
0.321,3.904,25.048
0.371,5.256,29.064
0.421,6.81,33.079
0.471,8.564,37.093
0.521,10.519,41.103
0.571,12.675,45.112
0.621,15.03,49.118
0.671,17.586,53.121
0.721,20.342,57.122
0.771,23.298,61.118
0.821,26.454,65.112
0.871,29.81,69.102
0.921,33.364,73.087
0.971,37.118,77.068
1.021,41.071,81.045
1.071,45.223,85.017
1.121,49.573,88.983
1.171,54.121,92.944
1.221,58.867,96.899
1.271,63.811,100.848
1.321,68.952,104.79
1.371,74.29,108.726
1.421,79.824,112.654
1.471,85.555,116.574
1.521,91.481,120.487
1.571,97.603,124.392
1.621,103.92,128.288
1.671,110.432,132.175
1.721,117.138,136.053
1.771,124.037,139.922
1.821,131.13,143.783
1.871,138.415,147.633
1.921,145.893,151.475
1.971,153.563,155.307
2.021,161.424,159.129
2.071,169.475,162.941
2.121,177.717,166.742
2.171,186.149,170.533
2.221,194.771,174.312
2.271,203.58,178.08
2.321,212.578,181.835
2.371,221.764,185.578
2.421,231.136,189.307
2.471,240.694,193.023
2.521,250.438,196.724
2.571,260.366,200.41
2.621,270.479,204.081
2.671,280.774,207.736
2.721,291.252,211.375
2.771,301.911,214.996
2.821,312.751,218.6
2.871,323.771,222.186
2.921,334.97,225.754
2.971,346.346,229.305
3.021,357.9,232.837
3.071,369.63,236.352
3.121,381.535,239.848
3.171,393.614,243.326
3.221,405.867,246.784
3.271,418.292,250.223
3.321,430.889,253.642
3.371,443.656,257.04
3.421,456.592,260.415
3.471,469.697,263.769
3.521,482.969,267.099
3.571,496.407,270.406
3.621,510.009,273.689
3.671,523.775,276.948
3.721,537.704,280.183
3.771,551.793,283.394
3.821,566.043,286.581
3.871,580.451,289.744
3.921,595.017,292.881
3.971,609.739,295.992
4.021,624.615,299.077
4.071,639.646,302.135
4.121,654.828,305.165
4.171,670.162,308.169
4.221,685.645,311.145
4.271,701.275,314.041
4.321,717.044,316.682
4.371,732.939,319.073
4.421,748.948,321.24
4.471,765.062,323.291
4.521,781.275,325.248
4.571,797.585,327.115
4.621,813.985,328.893
4.671,830.473,330.585
4.721,847.043,332.195
4.771,863.691,333.725
4.821,880.414,335.18
4.871,897.208,336.562
4.921,914.069,337.897
4.971,930.997,339.208
5.021,947.99,340.497
5.071,965.046,341.764
5.121,982.166,343.009
5.171,999.347,344.233
5.221,1016.589,345.436
5.271,1033.89,346.617
5.321,1051.25,347.778
5.371,1068.668,348.919
5.421,1086.142,350.041
5.471,1103.671,351.142
5.521,1121.256,352.225
5.571,1138.894,353.292
5.621,1156.585,354.348
5.671,1174.328,355.395
5.721,1192.124,356.432
5.771,1209.971,357.46
5.821,1227.87,358.479
5.871,1245.819,359.488
5.921,1263.819,360.489
5.971,1281.868,361.481
6.021,1299.967,362.464
6.071,1318.114,363.439
6.121,1336.31,364.406
6.171,1354.555,365.366
6.221,1372.847,366.317
6.271,1391.186,367.261
6.321,1409.573,368.196
6.371,1428.006,369.12
6.421,1446.484,370.027
6.471,1465.008,370.921
6.521,1483.576,371.8
6.571,1502.188,372.665
6.621,1520.843,373.516
6.671,1539.539,374.352
6.721,1558.278,375.175
6.771,1577.057,375.983
6.821,1595.876,376.779
6.871,1614.734,377.563
6.921,1633.632,378.335
6.971,1652.568,379.095
7.021,1671.541,379.843
7.071,1690.552,380.579
7.121,1709.599,381.304
7.171,1728.682,382.016
7.221,1747.8,382.717
7.271,1766.953,383.408
7.321,1786.141,384.09
7.371,1805.362,384.762
7.421,1824.617,385.425
7.471,1843.905,386.078
7.521,1863.225,386.722
7.571,1882.577,387.355
7.621,1901.96,387.979
7.671,1921.374,388.594
7.721,1940.819,389.202
7.771,1960.294,389.803
7.821,1979.799,390.395
7.871,1999.334,390.98
7.921,2018.897,391.558
7.971,2038.49,392.126
8.021,2058.11,392.687
8.071,2077.758,393.241
8.121,2097.434,393.788
8.171,2117.137,394.329
8.221,2136.867,394.863
8.271,2156.623,395.391
8.321,2176.406,395.912
8.371,2196.214,396.426
8.421,2216.048,396.933
8.471,2235.907,397.435
8.521,2255.792,397.932
8.571,2275.701,398.429
8.621,2295.634,398.925
8.671,2315.593,399.42
8.721,2335.576,399.913
8.771,2355.584,400.405
8.821,2375.617,400.895
8.871,2395.674,401.384
8.921,2415.755,401.872
8.971,2435.861,402.36
9.021,2455.991,402.847
9.071,2476.146,403.333
9.121,2496.324,403.818
9.171,2516.527,404.302
9.221,2536.755,404.784
9.271,2557.006,405.265
9.321,2577.281,405.746
9.371,2597.58,406.225
9.421,2617.904,406.704
9.471,2638.251,407.182
9.521,2658.622,407.659
9.571,2679.017,408.135
9.621,2699.435,408.61
9.671,2719.878,409.084
9.721,2740.344,409.557
9.771,2760.833,410.03
9.821,2781.347,410.502
9.871,2801.883,410.974
9.921,2822.444,411.446
9.971,2843.028,411.918
10.021,2863.636,412.389
10.071,2884.267,412.86
10.121,2904.922,413.331
10.171,2925.6,413.8
10.221,2946.302,414.27
10.271,2967.027,414.739
10.321,2987.776,415.209
10.371,3008.548,415.678
10.421,3029.344,416.147
10.471,3050.163,416.615
10.521,3071.005,417.083
10.571,3091.871,417.55
10.621,3112.76,418.017
10.671,3133.673,418.483
10.721,3154.608,418.949
10.771,3175.568,419.415
10.821,3196.55,419.88
10.871,3217.556,420.346
10.921,3238.585,420.812
10.971,3259.637,421.278
11.021,3280.712,421.743
11.071,3301.811,422.208
11.121,3322.933,422.673
11.171,3344.078,423.138
11.221,3365.247,423.603
11.271,3386.439,424.068
11.321,3407.654,424.534
11.371,3428.892,425.001
11.421,3450.154,425.469
11.471,3471.439,425.937
11.521,3492.748,426.407
11.571,3514.08,426.877
11.621,3535.435,427.347
11.671,3556.815,427.819
11.721,3578.217,428.29
