Time,Thrust,Mach number,Altitude,Cd
,N,,Feet,
0,0,0,0,0.27017
0.0175,2934.159375,0.00076,0.005,0.27017
0.035,5868.31875,0.003774,0.047,0.27017
0.0525,8802.478125,0.009081,0.173,0.27017
0.07,8669.341579,0.015641,0.419,0.270171
0.0875,8253.17875,0.021692,0.788,0.270171
0.105,8018.9316,0.027557,1.274,0.270171
0.1225,7762.4446,0.033232,1.871,0.270172
0.14,7782.800267,0.038819,2.578,0.270172
0.1575,7829.109933,0.044447,3.395,0.409018
0.175,7875.4196,0.050117,4.322,0.375901
0.1925,7921.729267,0.055829,5.36,0.351853
0.21,7964.521238,0.061583,6.51,0.333801
0.2275,8005.234571,0.067374,7.773,0.319868
0.245,8045.947905,0.073204,9.149,0.308853
0.2625,8086.661238,0.079072,10.639,0.299961
0.28,8127.374571,0.084978,12.245,0.292649
0.2975,8168.087905,0.090922,13.966,0.286541
0.315,8202.221321,0.096903,15.803,0.281366
0.3325,8232.466604,0.102914,17.757,0.276928
0.35,8262.711887,0.108956,19.83,0.273079
0.3675,8292.95717,0.115028,22.02,0.269706
0.385,8323.202453,0.12113,24.329,0.266721
0.4025,8353.447736,0.127262,26.758,0.264058
0.42,8385.258148,0.133426,29.306,0.261662
0.4375,8418.242407,0.139622,31.976,0.259492
0.455,8451.226667,0.14585,34.766,0.257513
0.4725,8484.210926,0.152112,37.679,0.255698
0.49,8517.195185,0.158406,40.714,0.254025
0.5075,8541.573036,0.16473,43.872,0.252476
0.525,8565.429286,0.171079,47.153,0.251036
0.5425,8589.285536,0.177454,50.559,0.249692
0.56,8570.159818,0.183841,54.09,0.248436
0.5775,8536.155727,0.190208,57.745,0.247263
0.595,8502.151636,0.196555,61.524,0.246165
0.6125,8474.61087,0.202882,65.426,0.245133
0.63,8451.378986,0.209196,69.452,0.244161
0.6475,8428.147101,0.215498,73.601,0.243244
0.665,8404.915217,0.221787,77.873,0.242378
0.6825,8390.998263,0.228066,82.267,0.241559
0.7,8381.941271,0.234344,86.784,0.240784
0.7175,8372.88428,0.24062,91.423,0.24005
