# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Mass (g),Mach number (​),Drag coefficient (​)
0.01,0.001,0.104,10.367,1167202.097,0.006,0.344
0.02,0.004,0.592,48.87,1167201.978,0.006,0.342
0.03,0.013,1.18,58.748,1167201.794,0.007,0.337
0.04,0.028,1.767,58.747,1167201.611,0.008,0.331
0.05,0.048,2.355,58.747,1167201.427,0.009,0.325
0.06,0.075,2.942,58.747,1167201.244,0.01,0.32
0.07,0.107,3.53,58.746,1167201.06,0.012,0.315
0.08,0.145,4.117,58.746,1167200.876,0.013,0.311
0.09,0.189,4.705,58.745,1167200.693,0.015,0.307
0.1,0.239,5.292,58.745,1167200.509,0.016,0.303
0.11,0.295,5.88,58.744,1167200.326,0.018,0.3
0.12,0.357,6.467,58.743,1167200.142,0.02,0.298
0.13,0.425,7.054,58.743,1167199.959,0.021,0.295
0.14,0.498,7.642,58.742,1167199.775,0.023,0.293
0.15,0.577,8.229,58.741,1167199.592,0.025,0.291
0.16,0.663,8.817,58.74,1167199.408,0.026,0.289
0.17,0.754,9.404,58.74,1167199.225,0.028,0.287
0.18,0.851,9.991,58.739,1167199.041,0.03,0.286
0.19,0.954,10.579,58.738,1167198.858,0.032,0.284
0.199,1.056,11.134,58.737,1167198.684,0.033,0.283
0.214,1.22,11.967,58.735,1167198.424,0.036,0.281
0.235,1.488,13.216,58.733,1167198.034,0.039,0.279
0.267,1.939,15.09,58.729,1167197.448,0.045,0.275
0.315,2.729,17.9,58.723,1167196.57,0.053,0.271
0.365,3.697,20.836,58.715,1167195.653,0.062,0.268
0.415,4.812,23.772,58.706,1167194.735,0.07,0.265
0.465,6.074,26.707,58.697,1167193.817,0.079,0.263
0.515,7.483,29.641,58.686,1167192.9,0.087,0.26
0.565,9.038,32.575,58.674,1167191.982,0.096,0.259
0.615,10.74,35.509,58.661,1167191.065,0.104,0.257
0.665,12.589,38.441,58.647,1167190.147,0.113,0.256
0.715,14.585,41.373,58.632,1167189.23,0.122,0.255
0.765,16.727,44.305,58.616,1167188.312,0.13,0.253
0.815,19.015,47.235,58.599,1167187.394,0.139,0.253
0.865,21.45,50.165,58.581,1167186.477,0.148,0.252
0.915,24.032,53.093,58.561,1167185.559,0.156,0.251
0.965,26.759,56.021,58.54,1167184.642,0.165,0.25
1.015,29.634,58.947,58.518,1167183.724,0.173,0.25
1.065,32.654,61.873,58.495,1167182.807,0.182,0.249
1.115,35.821,64.797,58.47,1167181.889,0.191,0.249
1.165,39.134,67.72,58.444,1167180.971,0.199,0.248
1.215,42.593,70.641,58.416,1167180.054,0.208,0.248
1.265,46.198,73.561,58.387,1167179.136,0.216,0.248
1.315,49.949,76.48,58.356,1167178.219,0.225,0.248
1.365,53.846,79.397,58.323,1167177.301,0.234,0.248
1.415,57.888,82.312,58.288,1167176.383,0.242,0.247
1.465,62.077,85.225,58.252,1167175.466,0.251,0.247
1.515,66.411,88.137,58.213,1167174.548,0.259,0.247
1.565,70.891,91.047,58.173,1167173.631,0.268,0.247
1.615,75.516,93.954,58.132,1167172.713,0.276,0.248
1.665,80.286,96.86,58.088,1167171.796,0.285,0.248
1.715,85.202,99.763,58.043,1167170.878,0.294,0.248
1.765,90.262,102.664,57.997,1167169.96,0.302,0.248
1.815,95.468,105.563,57.95,1167169.043,0.311,0.248
1.865,100.818,108.459,57.902,1167168.125,0.319,0.248
1.915,106.314,111.353,57.852,1167167.208,0.328,0.249
1.965,111.954,114.244,57.804,1167166.29,0.336,0.249
2.015,117.738,117.133,57.754,1167165.373,0.345,0.249
2.065,123.667,120.02,57.704,1167164.455,0.353,0.25
2.115,129.74,122.904,57.655,1167163.537,0.362,0.25
2.165,135.957,125.785,57.608,1167162.62,0.37,0.251
2.215,142.319,128.665,57.56,1167161.702,0.379,0.251
2.265,148.824,131.541,57.513,1167160.785,0.387,0.252
2.315,155.473,134.416,57.468,1167159.867,0.396,0.252
2.365,162.265,137.288,57.426,1167158.95,0.404,0.253
2.415,169.202,140.158,57.381,1167158.032,0.413,0.253
2.465,176.281,143.026,57.336,1167157.114,0.421,0.254
2.515,183.504,145.892,57.29,1167156.197,0.43,0.255
2.565,190.87,148.755,57.242,1167155.279,0.438,0.255
2.615,198.38,151.616,57.193,1167154.362,0.447,0.256
2.665,206.032,154.475,57.14,1167153.444,0.455,0.257
2.715,213.827,157.33,57.085,1167152.527,0.464,0.257
2.765,221.765,160.183,57.027,1167151.609,0.472,0.258
2.815,229.845,163.033,56.967,1167150.691,0.481,0.259
2.865,238.068,165.88,56.903,1167149.774,0.489,0.26
2.915,246.433,168.723,56.837,1167148.856,0.497,0.261
2.965,254.94,171.563,56.767,1167147.939,0.506,0.261
3.015,263.589,174.4,56.695,1167147.021,0.514,0.262
3.065,272.38,177.233,56.62,1167146.104,0.523,0.263
3.115,281.313,180.062,56.542,1167145.186,0.531,0.264
3.165,290.386,182.887,56.462,1167144.268,0.54,0.265
3.215,299.601,185.708,56.377,1167143.351,0.548,0.266
3.265,308.957,188.525,56.29,1167142.433,0.556,0.267
3.315,318.454,191.337,56.198,1167141.516,0.565,0.268
3.365,328.091,194.144,56.101,1167140.598,0.573,0.269
3.415,337.868,196.947,56.003,1167139.681,0.581,0.27
3.465,347.785,199.744,55.9,1167138.763,0.59,0.271
3.515,357.842,202.537,55.797,1167137.845,0.598,0.273
3.565,368.039,205.324,55.697,1167136.928,0.606,0.274
3.615,378.375,208.107,55.603,1167136.01,0.615,0.275
3.665,388.85,210.885,55.513,1167135.093,0.623,0.276
3.715,399.463,213.658,55.43,1167134.175,0.631,0.277
3.765,410.215,216.428,55.349,1167133.258,0.639,0.279
3.815,421.106,219.193,55.27,1167132.34,0.648,0.28
3.865,432.135,221.955,55.189,1167131.422,0.656,0.281
3.915,443.301,224.712,55.105,1167130.505,0.664,0.282
3.965,454.606,227.465,55.018,1167129.587,0.672,0.284
4.015,466.048,230.214,54.927,1167128.67,0.681,0.285
4.065,477.627,232.958,54.83,1167127.752,0.689,0.287
4.115,489.343,235.697,54.727,1167126.834,0.697,0.288
4.165,501.197,238.43,54.62,1167125.917,0.705,0.289
4.215,513.186,241.159,54.509,1167124.999,0.713,0.291
4.265,525.312,243.881,54.391,1167124.082,0.722,0.292
4.315,537.574,246.598,54.265,1167123.164,0.73,0.294
4.365,549.972,249.308,54.133,1167122.247,0.738,0.296
4.415,562.505,252.011,53.996,1167121.329,0.746,0.297
4.465,575.173,254.707,53.859,1167120.411,0.754,0.299
4.515,587.976,257.396,53.717,1167119.494,0.762,0.3
4.565,600.912,260.079,53.578,1167118.576,0.77,0.302
4.615,613.983,262.754,53.44,1167117.659,0.778,0.304
4.665,627.188,265.423,53.306,1167116.741,0.786,0.305
4.715,640.525,268.085,53.18,1167115.824,0.794,0.307
4.765,653.996,270.741,53.054,1167114.906,0.802,0.309
4.815,667.599,273.391,52.934,1167113.988,0.81,0.311
4.865,681.335,276.034,52.817,1167113.071,0.818,0.313
4.915,695.203,278.672,52.697,1167112.153,0.826,0.315
