# Simulation 8 (Up to date)
# 7107 data points written for 7 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Large angle of attack encountered (20.4).
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Mass (g),Mach number (​),Drag coefficient (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,3.902e-5,0.008,0.78,1.447e6,0.006,0.378
0.02,0.001,0.218,20.974,1.447e6,0.006,0.379
0.03,0.005,0.479,26.155,1.447e6,0.006,0.379
0.04,0.011,0.741,26.155,1.447e6,0.007,0.378
0.05,0.019,1.002,26.155,1.447e6,0.007,0.377
# Event LIFTOFF occurred at t=0.06 seconds
0.06,0.031,1.264,26.155,1.447e6,0.007,0.374
0.07,0.045,1.525,26.154,1.447e6,0.008,0.371
0.08,0.061,1.787,26.154,1.447e6,0.008,0.368
0.09,0.08,2.048,26.154,1.447e6,0.009,0.365
0.1,0.102,2.31,26.154,1.447e6,0.009,0.362
0.11,0.127,2.571,26.154,1.447e6,0.01,0.36
0.12,0.154,2.833,26.154,1.447e6,0.01,0.357
0.13,0.183,3.095,26.154,1.447e6,0.011,0.355
0.14,0.216,3.356,26.153,1.447e6,0.012,0.352
0.15,0.25,3.618,26.153,1.447e6,0.012,0.35
0.16,0.288,3.879,26.153,1.447e6,0.013,0.348
0.17,0.328,4.141,26.153,1.447e6,0.014,0.346
0.18,0.371,4.402,26.153,1.447e6,0.014,0.344
0.19,0.416,4.664,26.152,1.447e6,0.015,0.342
0.2,0.464,4.925,26.152,1.447e6,0.016,0.34
0.21,0.515,5.187,26.152,1.447e6,0.016,0.339
0.22,0.568,5.448,26.152,1.447e6,0.017,0.337
0.23,0.624,5.71,26.151,1.447e6,0.018,0.336
0.24,0.682,5.971,26.151,1.447e6,0.019,0.334
0.25,0.743,6.233,26.151,1.447e6,0.019,0.333
0.26,0.807,6.494,26.151,1.447e6,0.02,0.332
0.27,0.873,6.756,26.15,1.447e6,0.021,0.33
0.28,0.942,7.017,26.15,1.447e6,0.021,0.329
# Event LAUNCHROD occurred at t=0.29 seconds
0.29,1.013,7.279,26.15,1.447e6,0.022,0.328
0.305,1.125,7.671,26.149,1.447e6,0.023,0.326
0.328,1.305,8.259,26.148,1.447e6,0.025,0.324
0.361,1.598,9.142,26.147,1.447e6,0.028,0.321
0.411,2.088,10.449,26.146,1.447e6,0.031,0.316
0.461,2.643,11.756,26.144,1.447e6,0.035,0.313
0.511,3.264,13.064,26.142,1.447e6,0.039,0.31
0.561,3.949,14.371,26.139,1.447e6,0.043,0.307
0.611,4.701,15.678,26.137,1.447e6,0.046,0.305
0.661,5.517,16.984,26.135,1.447e6,0.05,0.302
0.711,6.399,18.291,26.132,1.447e6,0.054,0.3
0.761,7.346,19.597,26.129,1.447e6,0.058,0.298
0.811,8.359,20.904,26.126,1.447e6,0.062,0.297
0.861,9.437,22.21,26.122,1.447e6,0.065,0.295
0.911,10.58,23.516,26.119,1.447e6,0.069,0.294
0.961,11.788,24.822,26.115,1.447e6,0.073,0.292
1.011,13.062,26.128,26.111,1.447e6,0.077,0.291
1.061,14.401,27.433,26.107,1.447e6,0.081,0.29
1.111,15.805,28.738,26.103,1.447e6,0.085,0.289
1.161,17.275,30.043,26.099,1.447e6,0.088,0.288
1.211,18.81,31.348,26.094,1.447e6,0.092,0.287
1.261,20.41,32.653,26.089,1.447e6,0.096,0.286
1.311,22.075,33.957,26.084,1.447e6,0.1,0.285
1.361,23.805,35.261,26.079,1.447e6,0.104,0.284
1.411,25.601,36.565,26.074,1.447e6,0.108,0.283
1.461,27.462,37.869,26.068,1.447e6,0.111,0.283
1.511,29.388,39.172,26.062,1.447e6,0.115,0.282
1.561,31.379,40.475,26.057,1.447e6,0.119,0.281
1.611,33.435,41.778,26.05,1.447e6,0.123,0.281
1.661,35.557,43.08,26.044,1.447e6,0.127,0.28
1.711,37.743,44.382,26.037,1.447e6,0.131,0.28
1.761,39.995,45.684,26.03,1.447e6,0.134,0.279
1.811,42.312,46.985,26.023,1.447e6,0.138,0.278
1.861,44.694,48.286,26.016,1.447e6,0.142,0.278
1.911,47.14,49.587,26.009,1.447e6,0.146,0.278
1.961,49.652,50.887,26.001,1.447e6,0.15,0.277
2.011,52.229,52.187,25.993,1.447e6,0.154,0.277
2.061,54.871,53.486,25.985,1.447e6,0.157,0.276
2.111,57.578,54.785,25.977,1.447e6,0.161,0.276
2.161,60.349,56.084,25.968,1.447e6,0.165,0.276
2.211,63.186,57.382,25.959,1.447e6,0.169,0.275
2.261,66.088,58.68,25.95,1.447e6,0.173,0.275
2.311,69.054,59.977,25.941,1.447e6,0.176,0.275
2.361,72.085,61.274,25.931,1.447e6,0.18,0.274
2.411,75.181,62.57,25.921,1.447e6,0.184,0.274
2.461,78.342,63.866,25.91,1.447e6,0.188,0.274
2.511,81.568,65.161,25.9,1.447e6,0.192,0.274
2.561,84.858,66.456,25.889,1.447e6,0.196,0.273
2.611,88.214,67.75,25.878,1.447e6,0.199,0.273
2.661,91.633,69.044,25.866,1.447e6,0.203,0.273
2.711,95.118,70.337,25.855,1.447e6,0.207,0.273
2.761,98.667,71.629,25.842,1.447e6,0.211,0.272
2.811,102.281,72.921,25.83,1.447e6,0.215,0.272
2.861,105.959,74.212,25.816,1.447e6,0.218,0.272
2.911,109.702,75.503,25.803,1.447e6,0.222,0.272
2.961,113.509,76.792,25.789,1.447e6,0.226,0.272
3.011,117.381,78.081,25.775,1.447e6,0.23,0.272
3.061,121.317,79.37,25.761,1.447e6,0.234,0.272
3.111,125.318,80.658,25.747,1.447e6,0.237,0.272
3.161,129.383,81.944,25.732,1.447e6,0.241,0.271
3.211,133.513,83.231,25.717,1.447e6,0.245,0.271
3.261,137.706,84.516,25.702,1.447e6,0.249,0.271
3.311,141.964,85.801,25.686,1.447e6,0.253,0.271
3.361,146.286,87.085,25.671,1.447e6,0.256,0.271
3.411,150.673,88.368,25.657,1.447e6,0.26,0.271
3.461,155.123,89.651,25.641,1.447e6,0.264,0.271
3.511,159.638,90.932,25.625,1.447e6,0.268,0.271
3.561,164.216,92.213,25.608,1.447e6,0.272,0.271
3.611,168.859,93.493,25.591,1.447e6,0.275,0.271
3.661,173.566,94.772,25.576,1.447e6,0.279,0.271
3.711,178.336,96.05,25.559,1.447e6,0.283,0.271
3.761,183.171,97.328,25.544,1.447e6,0.287,0.271
3.811,188.069,98.605,25.529,1.447e6,0.291,0.271
3.861,193.031,99.881,25.513,1.447e6,0.294,0.271
3.911,198.057,101.156,25.497,1.447e6,0.298,0.271
3.961,203.147,102.431,25.482,1.447e6,0.302,0.271
4.011,208.3,103.704,25.466,1.447e6,0.306,0.271
4.061,213.517,104.977,25.451,1.447e6,0.31,0.271
4.111,218.798,106.25,25.437,1.447e6,0.313,0.271
4.161,224.142,107.521,25.422,1.447e6,0.317,0.271
4.211,229.55,108.792,25.409,1.447e6,0.321,0.271
4.261,235.021,110.062,25.394,1.447e6,0.325,0.272
4.311,240.556,111.331,25.379,1.447e6,0.328,0.272
4.361,246.154,112.6,25.364,1.447e6,0.332,0.272
4.411,251.816,113.868,25.35,1.447e6,0.336,0.272
4.461,257.541,115.135,25.335,1.447e6,0.34,0.272
4.511,263.33,116.401,25.322,1.447e6,0.344,0.272
4.561,269.181,117.667,25.308,1.447e6,0.347,0.272
4.611,275.096,118.932,25.293,1.447e6,0.351,0.272
4.661,281.074,120.196,25.278,1.447e6,0.355,0.272
4.711,287.116,121.46,25.262,1.447e6,0.359,0.273
4.761,293.22,122.722,25.248,1.447e6,0.362,0.273
4.811,299.388,123.984,25.234,1.447e6,0.366,0.273
4.861,305.619,125.246,25.219,1.447e6,0.37,0.273
4.911,311.913,126.506,25.203,1.447e6,0.374,0.273
4.961,318.269,127.766,25.188,1.446e6,0.377,0.273
5.011,324.689,129.025,25.171,1.446e6,0.381,0.274
5.061,331.172,130.283,25.154,1.446e6,0.385,0.274
